session,speaker,emotion
Ses01F_impro03,F016,hap
Ses01F_impro03,F017,neu
Ses01F_impro03,F018,neu
Ses01F_impro03,F019,neu
Ses01F_impro03,F020,xxx
Ses01F_impro03,F021,hap
Ses01F_impro03,F022,neu
Ses01F_impro03,F023,neu
Ses01F_impro03,F024,hap
Ses01F_impro03,F025,hap
Ses01F_impro03,F026,hap
Ses01F_impro03,M000,neu
Ses01F_impro03,M001,neu
Ses01F_impro03,M002,sur
Ses01F_impro03,M003,exc
Ses01F_impro03,M004,xxx
Ses01F_impro03,M005,xxx
Ses01F_impro03,M006,neu
Ses01F_impro03,M007,hap
Ses01F_impro03,M008,neu
Ses01F_impro03,M009,neu
Ses01F_impro03,M010,xxx
Ses01F_impro03,M011,neu
Ses01F_impro03,M012,xxx
Ses01F_impro03,M013,hap
Ses01F_impro03,M014,hap
Ses01F_impro03,M015,hap
Ses01F_impro03,M016,neu
Ses01F_impro03,M017,sur
Ses01F_impro03,M018,sur
Ses01F_impro03,M019,neu
Ses01F_impro03,M020,neu
Ses01F_impro03,M021,neu
Ses01F_impro03,M022,exc
Ses01F_impro03,M023,hap
Ses01F_impro03,M024,neu
Ses01F_impro04,F000,neu
Ses01F_impro04,F001,neu
Ses01F_impro04,F002,fru
Ses01F_impro04,F003,xxx
Ses01F_impro04,F004,xxx
Ses01F_impro04,F005,neu
Ses01F_impro04,F006,neu
Ses01F_impro04,F007,fru
Ses01F_impro04,F008,xxx
Ses01F_impro04,F009,neu
Ses01F_impro04,F010,xxx
Ses01F_impro04,F011,xxx
Ses01F_impro04,F012,xxx
Ses01F_impro04,F013,neu
Ses01F_impro04,F014,neu
Ses01F_impro04,F015,xxx
Ses01F_impro04,F016,fru
Ses01F_impro04,F017,fru
Ses01F_impro04,F018,fru
Ses01F_impro04,F019,fru
Ses01F_impro04,F020,xxx
Ses01F_impro04,F021,fru
Ses01F_impro04,F022,fru
Ses01F_impro04,F023,fru
Ses01F_impro04,F024,fru
Ses01F_impro04,F025,fru
Ses01F_impro04,F026,fru
Ses01F_impro04,F027,fru
Ses01F_impro04,F028,ang
Ses01F_impro04,F029,ang
Ses01F_impro04,F030,ang
Ses01F_impro04,F031,ang
Ses01F_impro04,F032,ang
Ses01F_impro04,F033,ang
Ses01F_impro04,M000,neu
Ses01F_impro04,M001,neu
Ses01F_impro04,M002,neu
Ses01F_impro04,M003,neu
Ses01F_impro04,M004,neu
Ses01F_impro04,M005,neu
Ses01F_impro04,M006,neu
Ses01F_impro04,M007,neu
Ses01F_impro04,M008,neu
Ses01F_impro04,M009,neu
Ses01F_impro04,M010,neu
Ses01F_impro04,M011,neu
Ses01F_impro04,M012,neu
Ses01F_impro04,M013,neu
Ses01F_impro04,M014,neu
Ses01F_impro04,M015,neu
Ses01F_impro04,M016,neu
Ses01F_impro04,M017,neu
Ses01F_impro04,M018,neu
Ses01F_impro04,M019,neu
Ses01F_impro04,M020,neu
Ses01F_impro04,M021,neu
Ses01F_impro04,M022,neu
Ses01F_impro04,M023,neu
Ses01F_impro04,M024,neu
Ses01F_impro04,M025,neu
Ses01F_impro04,M026,neu
Ses01F_impro04,M027,neu
Ses01F_impro04,M028,neu
Ses01F_impro04,M029,fru
Ses01F_impro04,M030,fru
Ses01F_impro04,M031,neu
Ses01F_impro04,M032,neu
Ses01F_impro04,M033,xxx
Ses01F_impro04,M034,fru
Ses01F_impro04,M035,fru
Ses01F_impro04,M036,xxx
Ses01F_impro05,F000,fru
Ses01F_impro05,F001,fru
Ses01F_impro05,F002,fru
Ses01F_impro05,F003,fru
Ses01F_impro05,F004,fru
Ses01F_impro05,F005,fru
Ses01F_impro05,F006,xxx
Ses01F_impro05,F007,fru
Ses01F_impro05,F008,ang
Ses01F_impro05,F009,ang
Ses01F_impro05,F010,xxx
Ses01F_impro05,F011,ang
Ses01F_impro05,F012,ang
Ses01F_impro05,F013,xxx
Ses01F_impro05,F014,ang
Ses01F_impro05,F015,ang
Ses01F_impro05,F016,ang
Ses01F_impro05,F017,ang
Ses01F_impro05,F018,ang
Ses01F_impro05,F019,ang
Ses01F_impro05,F020,ang
Ses01F_impro05,F021,ang
Ses01F_impro05,F022,ang
Ses01F_impro05,F023,ang
Ses01F_impro05,F024,ang
Ses01F_impro05,F025,ang
Ses01F_impro05,F026,ang
Ses01F_impro05,F027,xxx
Ses01F_impro05,F028,ang
Ses01F_impro05,F029,ang
Ses01F_impro05,F030,ang
Ses01F_impro05,M000,neu
Ses01F_impro05,M001,hap
Ses01F_impro05,M002,hap
Ses01F_impro05,M003,neu
Ses01F_impro05,M004,neu
Ses01F_impro05,M005,neu
Ses01F_impro05,M006,neu
Ses01F_impro05,M007,neu
Ses01F_impro05,M008,neu
Ses01F_impro05,M009,neu
Ses01F_impro05,M010,neu
Ses01F_impro05,M011,neu
Ses01F_impro05,M012,neu
Ses01F_impro05,M013,neu
Ses01F_impro05,M014,neu
Ses01F_impro05,M015,neu
Ses01F_impro05,M016,neu
Ses01F_impro05,M017,neu
Ses01F_impro05,M018,xxx
Ses01F_impro05,M019,neu
Ses01F_impro05,M020,neu
Ses01F_impro05,M021,xxx
Ses01F_impro05,M022,neu
Ses01F_impro05,M023,neu
Ses01F_impro05,M024,neu
Ses01F_impro05,M025,neu
Ses01F_impro05,M026,neu
Ses01F_impro05,M027,neu
Ses01F_impro05,M028,neu
Ses01F_impro05,M029,neu
Ses01F_impro05,M030,neu
Ses01F_impro05,M031,neu
Ses01F_impro05,M032,sur
Ses01F_impro05,M033,sur
Ses01F_impro05,M034,neu
Ses01F_impro05,M035,neu
Ses01F_impro06,F000,xxx
Ses01F_impro06,F001,xxx
Ses01F_impro06,F002,sad
Ses01F_impro06,F003,neu
Ses01F_impro06,F004,neu
Ses01F_impro06,F005,sad
Ses01F_impro06,F006,sad
Ses01F_impro06,F007,sad
Ses01F_impro06,F008,sad
Ses01F_impro06,F009,neu
Ses01F_impro06,F010,sad
Ses01F_impro06,F011,sad
Ses01F_impro06,F012,sad
Ses01F_impro06,F013,sad
Ses01F_impro06,F014,sad
Ses01F_impro06,F015,sad
Ses01F_impro06,F016,neu
Ses01F_impro06,F017,xxx
Ses01F_impro06,F018,neu
Ses01F_impro06,F019,neu
Ses01F_impro06,F020,sad
Ses01F_impro06,F021,sad
Ses01F_impro06,F022,sad
Ses01F_impro06,F023,sad
Ses01F_impro06,F024,sad
Ses01F_impro06,F025,sad
Ses01F_impro06,F026,sad
Ses01F_impro06,F027,neu
Ses01F_impro06,F028,sad
Ses01F_impro06,M000,sad
Ses01F_impro06,M001,neu
Ses01F_impro06,M002,neu
Ses01F_impro06,M003,sad
Ses01F_impro06,M004,neu
Ses01F_impro06,M005,neu
Ses01F_impro06,M006,neu
Ses01F_impro06,M007,sad
Ses01F_impro06,M008,neu
Ses01F_impro06,M009,neu
Ses01F_impro06,M010,neu
Ses01F_impro06,M011,neu
Ses01F_impro06,M012,neu
Ses01F_impro06,M013,neu
Ses01F_impro06,M014,neu
Ses01F_impro06,M015,neu
Ses01F_impro06,M016,neu
Ses01F_impro06,M017,xxx
Ses01F_impro07,F000,exc
Ses01F_impro07,F001,xxx
Ses01F_impro07,F002,exc
Ses01F_impro07,F003,exc
Ses01F_impro07,F004,exc
Ses01F_impro07,F005,exc
Ses01F_impro07,F006,xxx
Ses01F_impro07,F007,xxx
Ses01F_impro07,F008,xxx
Ses01F_impro07,F009,exc
Ses01F_impro07,F010,exc
Ses01F_impro07,F011,xxx
Ses01F_impro07,F012,exc
Ses01F_impro07,F013,exc
Ses01F_impro07,F014,xxx
Ses01F_impro07,F015,xxx
Ses01F_impro07,F016,exc
Ses01F_impro07,M000,exc
Ses01F_impro07,M001,exc
Ses01F_impro07,M002,exc
Ses01F_impro07,M003,exc
Ses01F_impro07,M004,exc
Ses01F_impro07,M005,exc
Ses01F_impro07,M006,exc
Ses01F_impro07,M007,exc
Ses01F_impro07,M008,exc
Ses01F_impro07,M009,exc
Ses01F_impro07,M010,xxx
Ses01F_impro07,M011,xxx
Ses01F_impro07,M012,neu
Ses01F_impro07,M013,neu
Ses01F_impro07,M014,exc
Ses01F_impro07,M015,exc
Ses01F_impro07,M016,xxx
Ses01F_impro07,M017,exc
Ses01F_impro07,M018,neu
Ses01F_impro07,M019,hap
Ses01F_script01_1,F000,fru
Ses01F_script01_1,F001,xxx
Ses01F_script01_1,F002,sur
Ses01F_script01_1,F003,xxx
Ses01F_script01_1,F004,xxx
Ses01F_script01_1,F005,neu
Ses01F_script01_1,F006,xxx
Ses01F_script01_1,F007,xxx
Ses01F_script01_1,F008,xxx
Ses01F_script01_1,F009,fru
Ses01F_script01_1,F010,fru
Ses01F_script01_1,F011,fru
Ses01F_script01_1,F012,fru
Ses01F_script01_1,F013,xxx
Ses01F_script01_1,F014,fru
Ses01F_script01_1,F015,neu
Ses01F_script01_1,F016,xxx
Ses01F_script01_1,F017,xxx
Ses01F_script01_1,F018,xxx
Ses01F_script01_1,F019,xxx
Ses01F_script01_1,F020,xxx
Ses01F_script01_1,F021,fru
Ses01F_script01_1,F022,fru
Ses01F_script01_1,F023,fru
Ses01F_script01_1,F024,fru
Ses01F_script01_1,F025,fru
Ses01F_script01_1,F026,fru
Ses01F_script01_1,F027,fru
Ses01F_script01_1,F028,fru
Ses01F_script01_1,F029,fru
Ses01F_script01_1,F030,fru
Ses01F_script01_1,F031,fru
Ses01F_script01_1,F032,fru
Ses01F_script01_1,F033,fru
Ses01F_script01_1,F034,neu
Ses01F_script01_1,F035,ang
Ses01F_script01_1,F036,xxx
Ses01F_script01_1,F037,ang
Ses01F_script01_1,F038,ang
Ses01F_script01_1,F039,fru
Ses01F_script01_1,F040,fru
Ses01F_script01_1,F041,ang
Ses01F_script01_1,F042,ang
Ses01F_script01_1,F043,fru
Ses01F_script01_1,F044,fru
Ses01F_script01_1,M000,neu
Ses01F_script01_1,M001,neu
Ses01F_script01_1,M002,neu
Ses01F_script01_1,M003,neu
Ses01F_script01_1,M004,neu
Ses01F_script01_1,M005,fru
Ses01F_script01_1,M006,xxx
Ses01F_script01_1,M007,neu
Ses01F_script01_1,M008,fru
Ses01F_script01_1,M009,fru
Ses01F_script01_1,M010,neu
Ses01F_script01_1,M011,fru
Ses01F_script01_1,M012,neu
Ses01F_script01_1,M013,fru
Ses01F_script01_1,M014,neu
Ses01F_script01_1,M015,neu
Ses01F_script01_1,M016,neu
Ses01F_script01_1,M017,neu
Ses01F_script01_1,M018,fru
Ses01F_script01_1,M019,ang
Ses01F_script01_1,M020,fru
Ses01F_script01_1,M021,fru
Ses01F_script01_1,M022,fru
Ses01F_script01_1,M023,neu
Ses01F_script01_1,M024,neu
Ses01F_script01_1,M025,neu
Ses01F_script01_1,M026,fru
Ses01F_script01_1,M027,fru
Ses01F_script01_1,M028,fru
Ses01F_script01_1,M029,fru
Ses01F_script01_1,M030,fru
Ses01F_script01_1,M031,fru
Ses01F_script01_1,M032,fru
Ses01F_script01_1,M033,fru
Ses01F_script01_1,M034,neu
Ses01F_script01_1,M035,fru
Ses01F_script01_1,M036,fru
Ses01F_script01_1,M037,fru
Ses01F_script01_1,M038,fru
Ses01F_script01_1,M039,neu
Ses01F_script01_1,M040,neu
Ses01F_script01_1,M041,fru
Ses01F_script01_1,M042,fru
Ses01F_script01_1,M043,fru
Ses01F_script01_2,F000,xxx
Ses01F_script01_2,F001,xxx
Ses01F_script01_2,F002,xxx
Ses01F_script01_2,F003,ang
Ses01F_script01_2,F004,ang
Ses01F_script01_2,F005,ang
Ses01F_script01_2,F006,ang
Ses01F_script01_2,F007,ang
Ses01F_script01_2,F008,ang
Ses01F_script01_2,F009,ang
Ses01F_script01_2,F010,ang
Ses01F_script01_2,F011,ang
Ses01F_script01_2,F012,ang
Ses01F_script01_2,F013,ang
Ses01F_script01_2,F014,fru
Ses01F_script01_2,M000,xxx
Ses01F_script01_2,M001,neu
Ses01F_script01_2,M002,xxx
Ses01F_script01_2,M003,fru
Ses01F_script01_2,M004,neu
Ses01F_script01_2,M005,xxx
Ses01F_script01_2,M006,fru
Ses01F_script01_2,M007,fru
Ses01F_script01_2,M008,neu
Ses01F_script01_2,M009,fru
Ses01F_script01_2,M010,fru
Ses01F_script01_2,M011,fru
Ses01F_script01_2,M012,fru
Ses01F_script01_2,M013,fru
Ses01F_script01_2,M014,fru
Ses01F_script01_2,M015,fru
Ses01F_script01_2,M016,xxx
Ses01F_script01_2,M017,ang
Ses01F_script01_3,F000,neu
Ses01F_script01_3,F001,neu
Ses01F_script01_3,F002,neu
Ses01F_script01_3,F003,neu
Ses01F_script01_3,F004,neu
Ses01F_script01_3,F005,neu
Ses01F_script01_3,F006,neu
Ses01F_script01_3,F007,neu
Ses01F_script01_3,F008,neu
Ses01F_script01_3,F009,neu
Ses01F_script01_3,F010,hap
Ses01F_script01_3,F011,hap
Ses01F_script01_3,F012,hap
Ses01F_script01_3,F013,hap
Ses01F_script01_3,F014,neu
Ses01F_script01_3,F015,neu
Ses01F_script01_3,F016,neu
Ses01F_script01_3,F017,hap
Ses01F_script01_3,F018,xxx
Ses01F_script01_3,F019,hap
Ses01F_script01_3,F020,hap
Ses01F_script01_3,F021,hap
Ses01F_script01_3,F022,neu
Ses01F_script01_3,F023,xxx
Ses01F_script01_3,F024,xxx
Ses01F_script01_3,F025,xxx
Ses01F_script01_3,F026,xxx
Ses01F_script01_3,F027,xxx
Ses01F_script01_3,F028,neu
Ses01F_script01_3,F029,neu
Ses01F_script01_3,F030,sad
Ses01F_script01_3,F031,neu
Ses01F_script01_3,F032,xxx
Ses01F_script01_3,F033,xxx
Ses01F_script01_3,F034,xxx
Ses01F_script01_3,F035,hap
Ses01F_script01_3,M000,neu
Ses01F_script01_3,M001,neu
Ses01F_script01_3,M002,xxx
Ses01F_script01_3,M003,neu
Ses01F_script01_3,M004,neu
Ses01F_script01_3,M005,neu
Ses01F_script01_3,M006,xxx
Ses01F_script01_3,M007,xxx
Ses01F_script01_3,M008,hap
Ses01F_script01_3,M009,hap
Ses01F_script01_3,M010,hap
Ses01F_script01_3,M011,xxx
Ses01F_script01_3,M012,xxx
Ses01F_script01_3,M013,xxx
Ses01F_script01_3,M014,sur
Ses01F_script01_3,M015,hap
Ses01F_script01_3,M016,hap
Ses01F_script01_3,M017,hap
Ses01F_script01_3,M018,xxx
Ses01F_script01_3,M019,hap
Ses01F_script01_3,M020,hap
Ses01F_script01_3,M021,sad
Ses01F_script01_3,M022,sad
Ses01F_script01_3,M023,sad
Ses01F_script01_3,M024,sad
Ses01F_script01_3,M025,sad
Ses01F_script01_3,M026,sad
Ses01F_script01_3,M027,sad
Ses01F_script01_3,M028,sad
Ses01F_script01_3,M029,sad
Ses01F_script01_3,M030,sad
Ses01F_script01_3,M031,xxx
Ses01F_script01_3,M032,sad
Ses01F_script01_3,M033,sad
Ses01F_script01_3,M034,xxx
Ses01F_script01_3,M035,xxx
Ses01F_script01_3,M036,sad
Ses01F_script01_3,M037,neu
Ses01F_script01_3,M038,xxx
Ses01F_script02_1,F000,neu
Ses01F_script02_1,F001,fru
Ses01F_script02_1,F002,xxx
Ses01F_script02_1,F003,sur
Ses01F_script02_1,F004,neu
Ses01F_script02_1,F005,xxx
Ses01F_script02_1,F006,ang
Ses01F_script02_1,F007,ang
Ses01F_script02_1,F008,neu
Ses01F_script02_1,F009,hap
Ses01F_script02_1,F010,sad
Ses01F_script02_1,F011,xxx
Ses01F_script02_1,F012,xxx
Ses01F_script02_1,F013,xxx
Ses01F_script02_1,F014,fru
Ses01F_script02_1,F015,neu
Ses01F_script02_1,F016,xxx
Ses01F_script02_1,F017,fru
Ses01F_script02_1,F018,xxx
Ses01F_script02_1,F019,fru
Ses01F_script02_1,F020,xxx
Ses01F_script02_1,F021,fru
Ses01F_script02_1,F022,xxx
Ses01F_script02_1,F023,fru
Ses01F_script02_1,F024,neu
Ses01F_script02_1,F025,neu
Ses01F_script02_1,M000,xxx
Ses01F_script02_1,M001,xxx
Ses01F_script02_1,M002,exc
Ses01F_script02_1,M003,xxx
Ses01F_script02_1,M004,xxx
Ses01F_script02_1,M005,xxx
Ses01F_script02_1,M006,xxx
Ses01F_script02_1,M007,neu
Ses01F_script02_1,M008,neu
Ses01F_script02_1,M009,neu
Ses01F_script02_1,M010,neu
Ses01F_script02_1,M011,neu
Ses01F_script02_1,M012,fru
Ses01F_script02_1,M013,neu
Ses01F_script02_1,M014,neu
Ses01F_script02_1,M015,neu
Ses01F_script02_1,M016,exc
Ses01F_script02_1,M017,xxx
Ses01F_script02_1,M018,fru
Ses01F_script02_1,M019,xxx
Ses01F_script02_1,M020,neu
Ses01F_script02_1,M021,neu
Ses01F_script02_1,M022,fru
Ses01F_script02_1,M023,neu
Ses01F_script02_1,M024,neu
Ses01F_script02_1,M025,neu
Ses01F_script02_1,M026,neu
Ses01F_script02_1,M027,fru
Ses01F_script02_1,M028,xxx
Ses01F_script02_1,M029,neu
Ses01F_script02_1,M030,sur
Ses01F_script02_1,M031,neu
Ses01F_script02_1,M032,neu
Ses01F_script02_1,M033,neu
Ses01F_script02_1,M034,neu
Ses01F_script02_1,M035,exc
Ses01F_script02_1,M036,hap
Ses01F_script02_1,M037,xxx
Ses01F_script02_1,M038,exc
Ses01F_script02_1,M039,xxx
Ses01F_script02_1,M040,exc
Ses01F_script02_1,M041,xxx
Ses01F_script02_1,M042,xxx
Ses01F_script02_1,M043,hap
Ses01F_script02_1,M044,hap
Ses01F_script02_2,F000,neu
Ses01F_script02_2,F001,neu
Ses01F_script02_2,F002,xxx
Ses01F_script02_2,F003,xxx
Ses01F_script02_2,F004,xxx
Ses01F_script02_2,F005,xxx
Ses01F_script02_2,F006,ang
Ses01F_script02_2,F007,fru
Ses01F_script02_2,F008,ang
Ses01F_script02_2,F009,ang
Ses01F_script02_2,F010,ang
Ses01F_script02_2,F011,xxx
Ses01F_script02_2,F012,fru
Ses01F_script02_2,F013,fru
Ses01F_script02_2,F014,xxx
Ses01F_script02_2,F015,sad
Ses01F_script02_2,F016,ang
Ses01F_script02_2,F017,neu
Ses01F_script02_2,F018,xxx
Ses01F_script02_2,F019,hap
Ses01F_script02_2,F020,xxx
Ses01F_script02_2,F021,fru
Ses01F_script02_2,F022,sad
Ses01F_script02_2,F023,neu
Ses01F_script02_2,F024,xxx
Ses01F_script02_2,F025,fru
Ses01F_script02_2,F026,neu
Ses01F_script02_2,F027,fru
Ses01F_script02_2,F028,xxx
Ses01F_script02_2,F029,fru
Ses01F_script02_2,F030,fru
Ses01F_script02_2,F031,xxx
Ses01F_script02_2,F032,fru
Ses01F_script02_2,F033,fru
Ses01F_script02_2,F034,sad
Ses01F_script02_2,F035,sad
Ses01F_script02_2,F036,sad
Ses01F_script02_2,F037,sur
Ses01F_script02_2,F038,sur
Ses01F_script02_2,F039,xxx
Ses01F_script02_2,F040,sad
Ses01F_script02_2,F041,neu
Ses01F_script02_2,F042,hap
Ses01F_script02_2,F043,hap
Ses01F_script02_2,F044,hap
Ses01F_script02_2,F045,hap
Ses01F_script02_2,F046,sad
Ses01F_script02_2,F047,neu
Ses01F_script02_2,M000,exc
Ses01F_script02_2,M001,exc
Ses01F_script02_2,M002,neu
Ses01F_script02_2,M003,xxx
Ses01F_script02_2,M004,fru
Ses01F_script02_2,M005,xxx
Ses01F_script02_2,M006,neu
Ses01F_script02_2,M007,fru
Ses01F_script02_2,M008,fru
Ses01F_script02_2,M009,fru
Ses01F_script02_2,M010,fru
Ses01F_script02_2,M011,fru
Ses01F_script02_2,M012,xxx
Ses01F_script02_2,M013,fru
Ses01F_script02_2,M014,fru
Ses01F_script02_2,M015,fru
Ses01F_script02_2,M016,neu
Ses01F_script02_2,M017,neu
Ses01F_script02_2,M018,xxx
Ses01F_script02_2,M019,neu
Ses01F_script02_2,M020,fru
Ses01F_script02_2,M021,neu
Ses01F_script02_2,M022,neu
Ses01F_script02_2,M023,neu
Ses01F_script02_2,M024,hap
Ses01F_script02_2,M025,xxx
Ses01F_script02_2,M026,hap
Ses01F_script02_2,M027,oth
Ses01F_script02_2,M028,xxx
Ses01F_script02_2,M029,xxx
Ses01F_script02_2,M030,xxx
Ses01F_script02_2,M031,fru
Ses01F_script02_2,M032,fru
Ses01F_script02_2,M033,neu
Ses01F_script02_2,M034,xxx
Ses01F_script02_2,M035,fru
Ses01F_script02_2,M036,fru
Ses01F_script02_2,M037,sad
Ses01F_script02_2,M038,sad
Ses01F_script02_2,M039,sur
Ses01F_script02_2,M040,neu
Ses01F_script02_2,M041,fru
Ses01F_script02_2,M042,neu
Ses01F_script02_2,M043,neu
Ses01F_script02_2,M044,hap
Ses01F_script02_2,M045,xxx
Ses01F_script02_2,M046,hap
Ses01F_script02_2,M047,neu
Ses01F_script02_2,M048,neu
Ses01F_script02_2,M049,hap
Ses01F_script03_1,F000,fea
Ses01F_script03_1,F001,fea
Ses01F_script03_1,F002,fea
Ses01F_script03_1,F003,xxx
Ses01F_script03_1,F004,xxx
Ses01F_script03_1,F005,hap
Ses01F_script03_1,F006,exc
Ses01F_script03_1,F007,exc
Ses01F_script03_1,F008,xxx
Ses01F_script03_1,F009,xxx
Ses01F_script03_1,F010,hap
Ses01F_script03_1,F011,hap
Ses01F_script03_1,F012,exc
Ses01F_script03_1,F013,xxx
Ses01F_script03_1,F014,xxx
Ses01F_script03_1,F015,xxx
Ses01F_script03_1,F016,xxx
Ses01F_script03_1,F017,xxx
Ses01F_script03_1,F018,xxx
Ses01F_script03_1,F019,xxx
Ses01F_script03_1,F020,hap
Ses01F_script03_1,F021,hap
Ses01F_script03_1,F022,hap
Ses01F_script03_1,F023,xxx
Ses01F_script03_1,F024,exc
Ses01F_script03_1,F025,xxx
Ses01F_script03_1,F026,xxx
Ses01F_script03_1,F027,xxx
Ses01F_script03_1,F028,xxx
Ses01F_script03_1,F029,hap
Ses01F_script03_1,F030,hap
Ses01F_script03_1,F031,xxx
Ses01F_script03_1,M000,fea
Ses01F_script03_1,M001,fea
Ses01F_script03_1,M002,fea
Ses01F_script03_1,M003,fea
Ses01F_script03_1,M004,xxx
Ses01F_script03_1,M005,exc
Ses01F_script03_1,M006,xxx
Ses01F_script03_1,M007,hap
Ses01F_script03_1,M008,hap
Ses01F_script03_1,M009,hap
Ses01F_script03_1,M010,hap
Ses01F_script03_1,M011,xxx
Ses01F_script03_1,M012,xxx
Ses01F_script03_1,M013,hap
Ses01F_script03_1,M014,xxx
Ses01F_script03_1,M015,xxx
Ses01F_script03_1,M016,xxx
Ses01F_script03_1,M017,xxx
Ses01F_script03_1,M018,hap
Ses01F_script03_1,M019,xxx
Ses01F_script03_1,M020,xxx
Ses01F_script03_1,M021,exc
Ses01F_script03_1,M022,xxx
Ses01F_script03_1,M023,xxx
Ses01F_script03_1,M024,exc
Ses01F_script03_1,M025,hap
Ses01F_script03_1,M026,hap
Ses01F_script03_1,M027,xxx
Ses01F_script03_1,M028,xxx
Ses01F_script03_1,M029,xxx
Ses01F_script03_1,M030,dis
Ses01F_script03_1,M031,xxx
Ses01F_script03_1,M032,xxx
Ses01F_script03_1,M033,xxx
Ses01F_script03_1,M034,hap
Ses01F_script03_1,M035,xxx
Ses01F_script03_1,M036,hap
Ses01F_script03_1,M037,hap
Ses01F_script03_1,M038,xxx
Ses01F_script03_2,F000,hap
Ses01F_script03_2,F001,hap
Ses01F_script03_2,F002,hap
Ses01F_script03_2,F003,xxx
Ses01F_script03_2,F004,neu
Ses01F_script03_2,F005,neu
Ses01F_script03_2,F006,xxx
Ses01F_script03_2,F007,xxx
Ses01F_script03_2,F008,fru
Ses01F_script03_2,F009,xxx
Ses01F_script03_2,F010,xxx
Ses01F_script03_2,F011,xxx
Ses01F_script03_2,F012,xxx
Ses01F_script03_2,F013,ang
Ses01F_script03_2,F014,ang
Ses01F_script03_2,F015,ang
Ses01F_script03_2,F016,ang
Ses01F_script03_2,F017,ang
Ses01F_script03_2,F018,ang
Ses01F_script03_2,F019,xxx
Ses01F_script03_2,F020,xxx
Ses01F_script03_2,F021,ang
Ses01F_script03_2,F022,ang
Ses01F_script03_2,F023,ang
Ses01F_script03_2,F024,ang
Ses01F_script03_2,F025,ang
Ses01F_script03_2,F026,ang
Ses01F_script03_2,F027,ang
Ses01F_script03_2,F028,ang
Ses01F_script03_2,F029,ang
Ses01F_script03_2,F030,neu
Ses01F_script03_2,F031,neu
Ses01F_script03_2,F032,neu
Ses01F_script03_2,F033,xxx
Ses01F_script03_2,F034,ang
Ses01F_script03_2,F035,ang
Ses01F_script03_2,F036,ang
Ses01F_script03_2,F037,ang
Ses01F_script03_2,F038,ang
Ses01F_script03_2,F039,ang
Ses01F_script03_2,F040,ang
Ses01F_script03_2,M000,xxx
Ses01F_script03_2,M001,neu
Ses01F_script03_2,M002,neu
Ses01F_script03_2,M003,xxx
Ses01F_script03_2,M004,neu
Ses01F_script03_2,M005,fru
Ses01F_script03_2,M006,xxx
Ses01F_script03_2,M007,ang
Ses01F_script03_2,M008,xxx
Ses01F_script03_2,M009,fru
Ses01F_script03_2,M010,neu
